feature_A,feature_B,agree_pred,both_correct,A_only_right,B_only_right,jaccard_correct,jaccard_wrong,oracle_either
Windowed dG (slide),Stall sites,0.44224020625939986,0.3182697128124329,0.3548664327150326,0.11931533338107857,0.4016267510167194,0.30444374409076586,0.7924514789085441
Codon-pair bias,5prime ramp,0.4068609897586479,0.17660961111508988,0.23325932822459358,0.21342118455919215,0.28335056876938985,0.4575106549534661,0.6232901238988756
Codon-pair bias,UTR+CDS init fold,0.3908902098402922,0.21334956671202462,0.1965193726276588,0.2673494234763303,0.31503807106598986,0.4103241077931537,0.6772183628160138
Codon-pair bias,mRNA stability,0.404927307885125,0.20253527178973,0.20733366754995344,0.25223805772398483,0.30589507842076796,0.4237090255949708,0.6621069970636683
Codon-pair bias,Stall sites,0.39518728067034303,0.1985246723483492,0.21134426699133424,0.2390603738451622,0.30592649817900897,0.4380305602716469,0.6489293131848457
5prime ramp,UTR+CDS init fold,0.42011029148463797,0.21599942705722266,0.17403136861705937,0.2646995631311323,0.3299059286808138,0.44039462866538776,0.6547303588054143
5prime ramp,mRNA stability,0.4080784931604956,0.19673422616916136,0.19329656950512067,0.2580391033445535,0.3035694551884186,0.4381241084165478,0.6480698990188355
5prime ramp,Stall sites,0.4068609897586479,0.19107641624292773,0.1989543794313543,0.24650862995058367,0.30018001800180016,0.4493138556883577,0.6365394256248658
UTR+CDS init fold,mRNA stability,0.5289694191792594,0.2885483062379145,0.19215068395044044,0.16622502327580033,0.44603121886416475,0.4962754177571975,0.6469240134641553
UTR+CDS init fold,Stall sites,0.4315691470314402,0.25145026140514215,0.22924872878321279,0.18613478478836926,0.3770808720867791,0.4450822809031764,0.6668337749767242
mRNA stability,Stall sites,0.3943994843515004,0.21693045907040034,0.23784287044331448,0.2206545871231111,0.3211748489025554,0.41448692152917505,0.6754279166368259
